Past Convo,Tutor Response,Tutor Action,Prep,Color,Obj
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: The dog is inside of the box. Tutor: OK,  ""is inside of the"" is  ""e dentro la"" Student: e dentro la",the dog is il cane,"[False, True, False, False, False]",e dentro la,rosa,scatola
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: ok, how do you say bunny?
 Tutor: OK,  ""bunny"" is  ""coniglio"" Student: and how do you say red?
 Tutor: Okay, I'll give you a hint.  ""red"" is ""rosso"" Student: then is the translation il gatto e di fronte a rosso coniglio Tutor: Remember that  ""is in front of the"" is  ""e di fronte al"" Student: how about 
""il gatto è di fronte al coniglio rosso"" Tutor: al (""to the"", or ""of the"") is used when the following word (coniglio) is masculine and a singular object.  It is a contraction of the words a (""to"") and il (""the""). Student: what do you want me to do with this info?",Say the cat is in front of the red bunny,"[False, True, False, False, False]",e di fronte al,rosso,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: what is blue in itialian? Tutor: Hmm...  ""blue"" is ""blu"" Student:  il coniglio e dentro la scatola blu.",That is correct!,"[False, False, False, True, False]",e di fronte alla,blu,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: e vicino alla bota tyrio Tutor: Hmm...  ""is behind the"" is  ""e dietro la"" Student: e dietro la bota tyrio Tutor: Well,  ""box"" is  ""scatola"" Student: e dietro la bota scatola tyrio Tutor: Remember that  ""purple"" is  ""viola"" Student: e dietro la bota scatola viola","Is ""bota"" necessary in the sentence?","[True, False, False, False, False]",e dietro la,viola,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is next to""?",e vicino,"[False, True, False, False, False]",e vicino,rosso,all'albero
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: The dog is inside of the box. Tutor: OK,  ""is inside of the"" is  ""e dentro la"" Student: e dentro la",Ok. So can you put it all together in a sentence?,"[True, False, False, False, False]",e dentro la,rosa,scatola
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: ok, how do you say bunny?
 Tutor: OK,  ""bunny"" is  ""coniglio"" Student: and how do you say red?
 Tutor: Okay, I'll give you a hint.  ""red"" is ""rosso"" Student: then is the translation il gatto e di fronte a rosso coniglio Tutor: Remember that  ""is in front of the"" is  ""e di fronte al"" Student: how about 
""il gatto è di fronte al coniglio rosso"" Tutor: al (""to the"", or ""of the"") is used when the following word (coniglio) is masculine and a singular object.  It is a contraction of the words a (""to"") and il (""the""). Student: what do you want me to do with this info?","I want you to fill in the blank in Italian, can you do that?","[True, False, False, False, False]",e di fronte al,rosso,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say in front of?
 Tutor: Hmm...  ""is in front of the"" is ""e di fronte al"" Student: And how do you say bunny? Tutor: Well,  ""bunny"" is  ""coniglio"" Student: il gatto e di fronte al coniglio rosa","Almost, rosso is the masculine form, because the noun it modifies (coniglio) is masculine.","[False, False, True, False, False]",e di fronte al,rosso,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: what is behind? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro il"" Student: what is red? Tutor: Remember that  ""red"" is ""rosso"" Student: what is cat?","""Cat"" is ""gatto"". Now, please try to fill in the blank.","[False, True, False, False, False]",e dietro il,rosso,gatto
"Tutor: Please try to fill in the blank in Italian.  Student: Okay. Can you remind me how to say is on top of again? Tutor: Remember that  ""is on top of the"" is ""e in cima al"" Student: e in cima al letto amarillo is my guess then.","Almost. ""Yellow"" in Italian, is ""giallo"", not amarillo but everything else is correct.","[False, False, True, False, False]",e in cima al,giallo,letto
"Tutor: ""Is Behind The"" is ""e dietro la"". Please try to fill in the blank in Italian.  Student: OK, but what is blue box in Italian?","""Blue box"" is ""scatola blu"". Now, please try to fill in the blank. ","[False, True, False, False, False]",e dietro la,blu,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is inside""?","Ok, I'll give you a hint. ""Is inside of the"" is ""e dentro la"". Do you know how to say red box?","[False, True, False, False, False]",e dentro la,rossa,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say in front of?
 Tutor: Hmm...  ""is in front of the"" is ""e di fronte al"" Student: And how do you say bunny? Tutor: Well,  ""bunny"" is  ""coniglio"" Student: il gatto e di fronte al coniglio rosa",This is correct,"[False, True, False, True, False]",e di fronte al,rosso,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: what is behind? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro il"" Student: what is red? Tutor: Remember that  ""red"" is ""rosso"" Student: what is cat?","Cat is ""gatto""","[False, True, False, True, False]",e dietro il,rosso,gatto
"Tutor: Please try to fill in the blank in Italian.  Student: Okay. Can you remind me how to say is on top of again? Tutor: Remember that  ""is on top of the"" is ""e in cima al"" Student: e in cima al letto amarillo is my guess then.",This would be correct,"[True, True, False, True, False]",e in cima al,giallo,letto
"Tutor: ""Is Behind The"" is ""e dietro la"". Please try to fill in the blank in Italian.  Student: OK, but what is blue box in Italian?","box is ""scatola"" and blue is ""blu""so it would sound like this. e dietro la scatola blu.","[True, True, False, True, False]",e dietro la,blu,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is inside""?","Inside is, ""e dentro la"".","[True, True, False, False, False]",e dentro la,rossa,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say in front of?
 Tutor: Hmm...  ""is in front of the"" is ""e di fronte al"" Student: And how do you say bunny? Tutor: Well,  ""bunny"" is  ""coniglio"" Student: il gatto e di fronte al coniglio rosa",Correct!,"[False, False, False, True, False]",e di fronte al,rosso,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: what is behind? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro il"" Student: what is red? Tutor: Remember that  ""red"" is ""rosso"" Student: what is cat?","Remember that ""cat"" is ""gatto""","[False, True, False, False, False]",e dietro il,rosso,gatto
"Tutor: Please try to fill in the blank in Italian.  Student: Okay. Can you remind me how to say is on top of again? Tutor: Remember that  ""is on top of the"" is ""e in cima al"" Student: e in cima al letto amarillo is my guess then.","Almost, remember that ""yelow"" is ""giallo""","[False, False, True, False, False]",e in cima al,giallo,letto
"Tutor: ""Is Behind The"" is ""e dietro la"". Please try to fill in the blank in Italian.  Student: OK, but what is blue box in Italian?","Remember that ""blue box"" is ""la scatola blu""","[False, True, False, False, False]",e dietro la,blu,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is inside""?","Remember that ""is inside of the"" is ""e dentro la""","[False, True, False, False, False]",e dentro la,rossa,scatola
"Tutor: ""Is In Front Of The"" is ""e di fronte alla"". Please try to fill in the blank in Italian.  Student: e di fronte alla Tutor: Well,  ""box"" is  ""scatola"" Student: Oh ok thanks Tutor: Okay, I'll give you a hint.  ""is in front of the"" is  ""e di fronte alla"" Student: e di fronte alla scatola Tutor: Well,  ""pink"" is  ""rosa"" Student: e di fronte alla rosa scatola  Tutor: alla (""to the"") is used when the following word (scatola) is feminine and a singular object.  It is a contraction of a (""to"") and la (""the""). When the following word begins with a vowel, this is shortened to all' and prepended to the word. Student: Oh ok I knew that!","Adjectives (such as color words) follow the noun they modify in Italian. Now, try to fill in the blank.","[False, True, False, False, False]",e di fronte alla,rosa,scatola
"Tutor: ""Is In Front Of The"" is ""e di fronte alla"". Please try to fill in the blank in Italian.  Student: e di fronte alla","Ok, do you know how to say pink or box?","[True, False, False, False, False]",e di fronte alla,rosa,scatola
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: What is yellow box in Italian? Tutor: Okay, I'll give you a hint.  ""box"" is  ""scatola"" Student: What is yellow in Italian? Tutor: Okay, I'll give you a hint.  ""yellow"" is ""gialla"" Student: Is the answer il coniglio e dentro la gialla scatola? Tutor: gialla is the feminine form, because the noun it modifies (scatola) is feminine. Student: Is a bunny masculine or feminine? Tutor: Prepositional phrases separate the two noun phrases. Student: il coniglio e dentro la gialla scatola
","Almost, Adjectives (such as color words) follow the noun they modify in Italian. Try switching the words ""gialla"" and ""scatola"".","[False, False, True, False, False]",e dentro la,gialla,scatola
Tutor: Please try to fill in the blank in Italian.  Student: What is Italian for is under the?,"Ok, I'll give you a hint. ""Is under the"" is ""e sotto"". How do you say blue tree?","[False, True, False, False, False]",e sotto,blu,l'albero
"Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero","Almost, ""tree"" is ""all'albero"" and Adjectives (such as color words) follow the noun they modify in Italian.","[False, False, True, False, False]",e vicino,verde,all'albero
"Tutor: ""Is In Front Of The"" is ""e di fronte alla"". Please try to fill in the blank in Italian.  Student: e di fronte alla Tutor: Well,  ""box"" is  ""scatola"" Student: Oh ok thanks Tutor: Okay, I'll give you a hint.  ""is in front of the"" is  ""e di fronte alla"" Student: e di fronte alla scatola Tutor: Well,  ""pink"" is  ""rosa"" Student: e di fronte alla rosa scatola  Tutor: alla (""to the"") is used when the following word (scatola) is feminine and a singular object.  It is a contraction of a (""to"") and la (""the""). When the following word begins with a vowel, this is shortened to all' and prepended to the word. Student: Oh ok I knew that!",Where should an adjective modify a noun? ,"[True, False, False, False, False]",e di fronte alla,rosa,scatola
"Tutor: ""Is In Front Of The"" is ""e di fronte alla"". Please try to fill in the blank in Italian.  Student: e di fronte alla",It's in front of what? ,"[True, False, False, False, False]",e di fronte alla,rosa,scatola
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: What is yellow box in Italian? Tutor: Okay, I'll give you a hint.  ""box"" is  ""scatola"" Student: What is yellow in Italian? Tutor: Okay, I'll give you a hint.  ""yellow"" is ""gialla"" Student: Is the answer il coniglio e dentro la gialla scatola? Tutor: gialla is the feminine form, because the noun it modifies (scatola) is feminine. Student: Is a bunny masculine or feminine? Tutor: Prepositional phrases separate the two noun phrases. Student: il coniglio e dentro la gialla scatola
","Almost. You need to drop ""il coniglio"" and swap ""gialla"" with ""scatola"" as noun modifiers follow the noun. ","[False, False, True, False, False]",e dentro la,gialla,scatola
Tutor: Please try to fill in the blank in Italian.  Student: What is Italian for is under the?,"""E sotto"" is Italian for under the.","[False, True, False, False, False]",e sotto,blu,l'albero
"Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero","Noun modifiers follow a noun, try again. ","[False, False, True, False, False]",e vicino,verde,all'albero
"Tutor: ""Is In Front Of The"" is ""e di fronte alla"". Please try to fill in the blank in Italian.  Student: e di fronte alla Tutor: Well,  ""box"" is  ""scatola"" Student: Oh ok thanks Tutor: Okay, I'll give you a hint.  ""is in front of the"" is  ""e di fronte alla"" Student: e di fronte alla scatola Tutor: Well,  ""pink"" is  ""rosa"" Student: e di fronte alla rosa scatola  Tutor: alla (""to the"") is used when the following word (scatola) is feminine and a singular object.  It is a contraction of a (""to"") and la (""the""). When the following word begins with a vowel, this is shortened to all' and prepended to the word. Student: Oh ok I knew that!",Good. Now please try to fill in the blank again. ,"[False, False, False, True, False]",e di fronte alla,rosa,scatola
"Tutor: ""Is In Front Of The"" is ""e di fronte alla"". Please try to fill in the blank in Italian.  Student: e di fronte alla",Almost...don't forget to the pink box! Please try again. ,"[False, False, True, False, False]",e di fronte alla,rosa,scatola
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: What is yellow box in Italian? Tutor: Okay, I'll give you a hint.  ""box"" is  ""scatola"" Student: What is yellow in Italian? Tutor: Okay, I'll give you a hint.  ""yellow"" is ""gialla"" Student: Is the answer il coniglio e dentro la gialla scatola? Tutor: gialla is the feminine form, because the noun it modifies (scatola) is feminine. Student: Is a bunny masculine or feminine? Tutor: Prepositional phrases separate the two noun phrases. Student: il coniglio e dentro la gialla scatola
","No, that isn't quite correct. Remember that the adjective follows the noun. Please try again. ","[False, False, True, False, False]",e dentro la,gialla,scatola
Tutor: Please try to fill in the blank in Italian.  Student: What is Italian for is under the?,"""E sotto,"" Now please try again.","[False, True, False, False, False]",e sotto,blu,l'albero
"Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero",Not quite...remember that the adjective follows the noun. Please try again. ,"[False, False, True, False, False]",e vicino,verde,all'albero
"Tutor: Please try to fill in the blank in Italian.  Student: what is purple in italian? Tutor: Okay, I'll give you a hint.  ""purple"" is ""viola"" Student: what is is behind the in italian","Okay, I'll give you a hint is behind the is ""e dietro la""","[False, True, False, False, False]",e dietro la,viola,scatola
"Tutor: ""Yellow"" is ""giallo"". Please try to fill in the blank in Italian.  Student: How do I saw 'next to'? Tutor: Okay, I'll give you a hint.  ""is next to the"" is ""e vicino al"" Student: il gatto e vicino al giallo cane?","Almost the correct way is, ""il gatto e vicino al cane giallo""","[False, False, True, False, False]",e vicino al,giallo,cane
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is in front of""? Tutor: Well,  ""is in front of the"" is ""e di fronte al"" Student: How do you say ""bed""? Tutor: Well,  ""bed"" is  ""letto"" Student: il cane e di fronte al l'letto viola?",Almost however l'letto is simply letto so it's be al letto,"[False, False, False, True, False]",e di fronte al,viola,letto
Tutor: Please try to fill in the blank in Italian.  Student: What is the word for blue?,"A hint is ""blu""","[False, True, False, False, False]",e di fronte,blu,all'albero
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: e di fronte al Tutor: OK,  ""bunny"" is  ""coniglio"" Student: How do I say in front of? Tutor: Okay, I'll give you a hint.  ""is in front of the"" is ""e di fronte al"" Student: Il cane e di fronte al ... how do I say blue? Tutor: Remember that  ""blue"" is ""blu"" Student: l cane e di fronte al blu coniglio Tutor: al (""to the"", or ""of the"") is used when the following word (coniglio) is masculine and a singular object.  It is a contraction of the words a (""to"") and il (""the""). Student: ll cane e di fronte al blu coniglio",Almost the only thing wrong is blu follows coniglio so it's be coniglio blu,"[False, False, True, False, False]",e di fronte al,blu,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: what is purple in italian? Tutor: Okay, I'll give you a hint.  ""purple"" is ""viola"" Student: what is is behind the in italian","""Is behind the"" is ""e dietro la"". Do you know how to say box?","[False, True, False, False, False]",e dietro la,viola,scatola
"Tutor: ""Yellow"" is ""giallo"". Please try to fill in the blank in Italian.  Student: How do I saw 'next to'? Tutor: Okay, I'll give you a hint.  ""is next to the"" is ""e vicino al"" Student: il gatto e vicino al giallo cane?","Almost, adjectives (such as color words) follow the noun they modify in Italian. Just switch the words ""giallo"" and ""cane"" and then you will be correct. ","[False, False, True, False, False]",e vicino al,giallo,cane
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is in front of""? Tutor: Well,  ""is in front of the"" is ""e di fronte al"" Student: How do you say ""bed""? Tutor: Well,  ""bed"" is  ""letto"" Student: il cane e di fronte al l'letto viola?","Almost, al (""to the"", or ""of the"") is used when the following word (letto) is masculine and a singular object. It is a contraction of the words a (""to"") and il (""the""). ","[False, False, True, False, False]",e di fronte al,viola,letto
Tutor: Please try to fill in the blank in Italian.  Student: What is the word for blue?,"Ok, I'll give you a hint. ""Blue"" is ""blu"". Do you know how to say is in front of the?","[False, True, False, False, False]",e di fronte,blu,all'albero
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: e di fronte al Tutor: OK,  ""bunny"" is  ""coniglio"" Student: How do I say in front of? Tutor: Okay, I'll give you a hint.  ""is in front of the"" is ""e di fronte al"" Student: Il cane e di fronte al ... how do I say blue? Tutor: Remember that  ""blue"" is ""blu"" Student: l cane e di fronte al blu coniglio Tutor: al (""to the"", or ""of the"") is used when the following word (coniglio) is masculine and a singular object.  It is a contraction of the words a (""to"") and il (""the""). Student: ll cane e di fronte al blu coniglio","Almost, adjectives (such as color words) follow the noun they modify in Italian. Just switch the words ""blu"" and ""coniglio"" and then you will be correct. ","[False, False, True, False, False]",e di fronte al,blu,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: what is purple in italian? Tutor: Okay, I'll give you a hint.  ""purple"" is ""viola"" Student: what is is behind the in italian","In Italian ""is behind the"" is  ""e dietro la"".","[False, True, False, False, False]",e dietro la,viola,scatola
"Tutor: ""Yellow"" is ""giallo"". Please try to fill in the blank in Italian.  Student: How do I saw 'next to'? Tutor: Okay, I'll give you a hint.  ""is next to the"" is ""e vicino al"" Student: il gatto e vicino al giallo cane?",Very close. Remember that adjectives follow the noun they modify in Italian.,"[False, True, True, False, False]",e vicino al,giallo,cane
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is in front of""? Tutor: Well,  ""is in front of the"" is ""e di fronte al"" Student: How do you say ""bed""? Tutor: Well,  ""bed"" is  ""letto"" Student: il cane e di fronte al l'letto viola?","Almost. remember the following rule: al (""to the"", or ""of the"") is used when the following word (letto) is masculine and a singular object. It is a contraction of the words a (""to"") and il (""the"").","[False, True, True, False, False]",e di fronte al,viola,letto
Tutor: Please try to fill in the blank in Italian.  Student: What is the word for blue?,"Here's a hint: ""blue"" is ""blu"".","[False, True, False, False, False]",e di fronte,blu,all'albero
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: e di fronte al Tutor: OK,  ""bunny"" is  ""coniglio"" Student: How do I say in front of? Tutor: Okay, I'll give you a hint.  ""is in front of the"" is ""e di fronte al"" Student: Il cane e di fronte al ... how do I say blue? Tutor: Remember that  ""blue"" is ""blu"" Student: l cane e di fronte al blu coniglio Tutor: al (""to the"", or ""of the"") is used when the following word (coniglio) is masculine and a singular object.  It is a contraction of the words a (""to"") and il (""the""). Student: ll cane e di fronte al blu coniglio",Almost got it but adjectives follow the noun they modify in Italian.,"[False, True, True, False, False]",e di fronte al,blu,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: What's bunny?
 Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: What's bunny?  Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: What's bunny?  Tutor: Prepositional phrases separate the two noun phrases. Student: What's bunny? ",bunny is already told to you in the question.,"[False, True, False, False, True]",e di fronte,blu,all'albero
"Tutor: Please try to fill in the blank in Italian.  Student: What is the word for on top of?
 Tutor: Remember that  ""is on top of the"" is ""e in cima al"" Student: e in cima al ",Great! And what would come after that to talk about the pink bed?,"[True, False, False, False, False]",e in cima al,rosa,letto
"Tutor: Please try to fill in the blank in Italian.  Student: Is blue, azul? Tutor: OK,  ""blue"" is ""blu"" Student: Oh okay! That seems easy enough.","Now how would you use ""blue box?""","[True, False, False, False, False]",e dentro la,blu,scatola
"Tutor: ""Pink"" is ""rosa"". Please try to fill in the blank in Italian.  Student: Okay.  What is tree again?","Tree is ""l'albero""","[False, True, False, False, False]",e dietro,rosa,l'albero
"Tutor: Please try to fill in the blank in Italian.  Student: what is ""bag"" bag in italian? Tutor: Well,  ""box"" is  ""scatola"" Student: what is ""bag"" in italian?",Bag is already given to you in the question.,"[False, True, False, False, True]",e di fronte alla,rossa,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: What's bunny?
 Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: What's bunny?  Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: What's bunny?  Tutor: Prepositional phrases separate the two noun phrases. Student: What's bunny? ",il coniglio,"[False, True, False, False, False]",e di fronte,blu,all'albero
"Tutor: Please try to fill in the blank in Italian.  Student: What is the word for on top of?
 Tutor: Remember that  ""is on top of the"" is ""e in cima al"" Student: e in cima al ",almost. you need to add pink bed. ,"[False, False, True, False, False]",e in cima al,rosa,letto
"Tutor: Please try to fill in the blank in Italian.  Student: Is blue, azul? Tutor: OK,  ""blue"" is ""blu"" Student: Oh okay! That seems easy enough.",can you fill in the blank? il gatto __________________ ,"[True, False, False, False, False]",e dentro la,blu,scatola
"Tutor: ""Pink"" is ""rosa"". Please try to fill in the blank in Italian.  Student: Okay.  What is tree again?","""tree"" is ""l'albero"".","[False, True, False, False, False]",e dietro,rosa,l'albero
"Tutor: Please try to fill in the blank in Italian.  Student: what is ""bag"" bag in italian? Tutor: Well,  ""box"" is  ""scatola"" Student: what is ""bag"" in italian?","""bag"" is ""la borsa""","[False, True, False, False, False]",e di fronte alla,rossa,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: how do I say green? Tutor: Okay, I'll give you a hint.  ""green"" is ""verde"" Student: how so I say is inside of?",e dentro la means inside of.,"[False, True, False, False, False]",e dentro la,verde,scatola
"Tutor: ""Table"" is ""tavolo"". Please try to fill in the blank in Italian.  Student: il cane tavolo Tutor: OK,  ""is next to the"" is  ""e accanto al"" Student: avolo Tutor: OK,  ""blue"" is ""blu"" Student: blu Tutor: OK,  ""table"" is "" tavolo"" Student: tavolo",Can you put them together?,"[True, False, False, False, False]",e accanto al,blu,tavolo
Tutor: Please try to fill in the blank in Italian.  Student: How do I say bunny,coniglio means bunny.,"[False, True, False, False, False]",e sotto,blu,l'albero
"Tutor: Please try to fill in the blank in Italian.  Student: e vicino alla bota tyrio Tutor: Hmm...  ""is behind the"" is  ""e dietro la"" Student: e dietro la bota tyrio","bota tyrio is not Italian, do you know the term for the purple box?","[True, False, True, False, False]",e dietro la,viola,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How would you say ""is on top of the"" in Italian? Tutor: Remember that  ""is on top of the"" is ""e in cima al"" Student: Okay! And what's the word for table?", Table is tavolo.,"[False, True, False, False, False]",e in cima al,viola,tavolo
"Tutor: Please try to fill in the blank in Italian.  Student: how do I say green? Tutor: Okay, I'll give you a hint.  ""green"" is ""verde"" Student: how so I say is inside of?","""Is inside of the"" is ""e dentro la"". Do you know how to say box?","[False, True, False, False, False]",e dentro la,verde,scatola
"Tutor: ""Table"" is ""tavolo"". Please try to fill in the blank in Italian.  Student: il cane tavolo Tutor: OK,  ""is next to the"" is  ""e accanto al"" Student: avolo Tutor: OK,  ""blue"" is ""blu"" Student: blu Tutor: OK,  ""table"" is "" tavolo"" Student: tavolo","OK, now can you please try to put it all together and fill in the blank?","[True, False, False, False, False]",e accanto al,blu,tavolo
Tutor: Please try to fill in the blank in Italian.  Student: How do I say bunny,"""The bunny"" is ""il coniglio"" but that is given, not part of fill in the blank. ""Blue tree"" is ""l'albero blu"". Do you know how to say is under the?","[False, True, False, False, False]",e sotto,blu,l'albero
"Tutor: Please try to fill in the blank in Italian.  Student: e vicino alla bota tyrio Tutor: Hmm...  ""is behind the"" is  ""e dietro la"" Student: e dietro la bota tyrio","Hmmm... ""the purple box"" is ""la scatola viola"". Now, please try to fill in the blank.","[False, True, False, False, False]",e dietro la,viola,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How would you say ""is on top of the"" in Italian? Tutor: Remember that  ""is on top of the"" is ""e in cima al"" Student: Okay! And what's the word for table?","""Table"" is ""tavolo"". Do you know how to say purple?","[False, True, False, False, False]",e in cima al,viola,tavolo
"Tutor: Please try to fill in the blank in Italian.  Student: how do I say green? Tutor: Okay, I'll give you a hint.  ""green"" is ""verde"" Student: how so I say is inside of?",e dentro la,"[False, True, False, False, False]",e dentro la,verde,scatola
"Tutor: ""Table"" is ""tavolo"". Please try to fill in the blank in Italian.  Student: il cane tavolo Tutor: OK,  ""is next to the"" is  ""e accanto al"" Student: avolo Tutor: OK,  ""blue"" is ""blu"" Student: blu Tutor: OK,  ""table"" is "" tavolo"" Student: tavolo",Now can you put it all together?,"[True, False, False, False, False]",e accanto al,blu,tavolo
Tutor: Please try to fill in the blank in Italian.  Student: How do I say bunny,It's already written down in the question.,"[False, True, False, False, True]",e sotto,blu,l'albero
"Tutor: Please try to fill in the blank in Italian.  Student: e vicino alla bota tyrio Tutor: Hmm...  ""is behind the"" is  ""e dietro la"" Student: e dietro la bota tyrio","That's close, but your last adjective and noun aren't correct. I'll give you a hint: box is scatola.","[False, True, True, False, False]",e dietro la,viola,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How would you say ""is on top of the"" in Italian? Tutor: Remember that  ""is on top of the"" is ""e in cima al"" Student: Okay! And what's the word for table?",Table is tavolo,"[False, True, False, False, False]",e in cima al,viola,tavolo
"Tutor: ""Yellow"" is ""giallo"". Please try to fill in the blank in Italian.  Student: How do I saw 'next to'? Tutor: Okay, I'll give you a hint.  ""is next to the"" is ""e vicino al"" Student: il gatto e vicino al giallo cane? Tutor: al (""to the"", or ""of the"") is used when the following word (cane) is masculine and a singular object.  It is a contraction of the words a (""to"") and il (""the""). Student: So is 'il gatto e vicino al giallo cane' correct? Tutor: Why don't you try filling in what you can. Student: il gatto e vicino il giallo cane?","Everything looks correct, except you switched giallo and cane. ","[False, False, True, True, False]",e vicino al,giallo,cane
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is next to""? Tutor: Well,  ""is next to the"" is ""e vicino"" Student: How do you say ""tree""?","""Tree"" is ""all'albero"". Do you know how to say red? ","[True, True, False, False, False]",e vicino,rosso,all'albero
"Tutor: Please try to fill in the blank in Italian.  Student: How do I say ""tree"" in Italian? Tutor: Hmm...  ""tree"" is  ""all'albero"" Student: Okay.  So is it ""il de all'albero""?","Not quite. In order to say to say ""is in front of the"" use ""e di fronte"".","[False, True, True, False, False]",e di fronte,rosa,all'albero
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is in front of the""? Tutor: Okay, I'll give you a hint.  ""is in front of the"" is ""e di fronte alla"" Student: Ok. Is box scatolia? Tutor: Okay, I'll give you a hint.  ""box"" is  ""scatola"" Student: Thank you, I remember now. Tutor: Do you know how to say the bunny? Student: il coniglio","The only other piece you need is the word ""red"". Do you know what ""red"" is? ","[True, False, False, False, False]",e di fronte alla,rosa,scatola
"Tutor: ""Bag"" is ""borsa"". Please try to fill in the blank in Italian.  Student: Ok, what is the word for purple?","The word for ""purple"" is ""viola"". Do you know how to say ""is inside of the""?","[True, True, False, False, False]",e dentro la,viola,borsa
"Tutor: ""Yellow"" is ""giallo"". Please try to fill in the blank in Italian.  Student: How do I saw 'next to'? Tutor: Okay, I'll give you a hint.  ""is next to the"" is ""e vicino al"" Student: il gatto e vicino al giallo cane? Tutor: al (""to the"", or ""of the"") is used when the following word (cane) is masculine and a singular object.  It is a contraction of the words a (""to"") and il (""the""). Student: So is 'il gatto e vicino al giallo cane' correct? Tutor: Why don't you try filling in what you can. Student: il gatto e vicino il giallo cane?","In Italian, the adjective follows the noun so it would be 'cane giallo'.","[False, False, True, False, False]",e vicino al,giallo,cane
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is next to""? Tutor: Well,  ""is next to the"" is ""e vicino"" Student: How do you say ""tree""?",Tree is all'albero,"[False, True, False, False, False]",e vicino,rosso,all'albero
