Past Convo,Student Repsonse,"Actions (guess, question, affirmation, other)"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is under the in italian? Tutor: Okay, I'll give you a hint.  ""is under the"" is ""e sotto""",How do you say tree in italian?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is under the in italian? Tutor: Okay, I'll give you a hint.  ""is under the"" is ""e sotto"" Student: How do you say tree in italian? Tutor: Hmm...  ""tree"" is  ""l'albero""",I think it's il coniglioe sotto l'albero blu.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is under the in italian? Tutor: Okay, I'll give you a hint.  ""is under the"" is ""e sotto"" Student: How do you say tree in italian? Tutor: Hmm...  ""tree"" is  ""l'albero"" Student: I think it's il coniglioe sotto l'albero blu. Tutor: Please try to fill in the blank in Italian. ",How do you say is behind the in italian?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is behind the in italian? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la""",Oh okay. And how do you say box in italian again?,"[False, True, True, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is behind the in italian? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la"" Student: Oh okay. And how do you say box in italian again? Tutor: Okay, I'll give you a hint.  ""box"" is  ""scatola""",Okay. I think it's la borsa e dietro la scatola blu.,"[True, False, True, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is behind the in italian? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la"" Student: Oh okay. And how do you say box in italian again? Tutor: Okay, I'll give you a hint.  ""box"" is  ""scatola"" Student: Okay. I think it's la borsa e dietro la scatola blu. Tutor: Please try to fill in the blank in Italian. ",How do you say is under the again?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is under the again? Tutor: Well,  ""is under the"" is ""e sotto""",Oh okay. I think it's la scatola e sotto l'albero blu.,"[True, False, True, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is under the again? Tutor: Well,  ""is under the"" is ""e sotto"" Student: Oh okay. I think it's la scatola e sotto l'albero blu. Tutor: Please try to fill in the blank in Italian. ",I think it's il coniglio e dietro la cane blu.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: I think it's il coniglio e dietro la cane blu. Tutor: Well,  ""is behind the"" is  ""e dietro il""",Oh I see. il coniglio e dietro il cane blu.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: I think it's il coniglio e dietro la cane blu. Tutor: Well,  ""is behind the"" is  ""e dietro il"" Student: Oh I see. il coniglio e dietro il cane blu. Tutor: Please try to fill in the blank in Italian. ",I will say it's la borsa e fronte la scatola blu.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: I will say it's la borsa e fronte la scatola blu. Tutor: Well,  ""is in front of the"" is  ""e di fronte alla""",Oh okay so it's alla instead of just la. Then it's la borsa e di fronte alla scatola blu.,"[True, False, True, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: I will say it's la borsa e fronte la scatola blu. Tutor: Well,  ""is in front of the"" is  ""e di fronte alla"" Student: Oh okay so it's alla instead of just la. Then it's la borsa e di fronte alla scatola blu. Tutor: Please try to fill in the blank in Italian. ",What is the word for green in italian?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: What is the word for green in italian? Tutor: OK,  ""green"" is ""verde""",Oh. I think it's il cane e fronte alla scatola verde.,"[True, False, True, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: What is the word for green in italian? Tutor: OK,  ""green"" is ""verde"" Student: Oh. I think it's il cane e fronte alla scatola verde. Tutor: OK,  ""is in front of the"" is  ""e di fronte alla""",Oh I was close! Then it's il cane e di fronte alla scatola verde.,"[True, False, True, False]"
" Tutor: ""Box"" is ""scatola"". Please try to fill in the blank in Italian. ","Okay, how do you say in front of?","[False, True, False, False]"
" Tutor: ""Box"" is ""scatola"". Please try to fill in the blank in Italian.  Student: Okay, how do you say in front of? Tutor: OK,  ""is in front of the"" is ""e di fronte alla""",And how do you say yellow?,"[False, True, False, False]"
" Tutor: ""Box"" is ""scatola"". Please try to fill in the blank in Italian.  Student: Okay, how do you say in front of? Tutor: OK,  ""is in front of the"" is ""e di fronte alla"" Student: And how do you say yellow? Tutor: Okay, I'll give you a hint.  ""yellow"" is ""gialla""","Is it ""la borsa e di fronte alla gialla scatola""?","[True, False, False, False]"
" Tutor: ""Box"" is ""scatola"". Please try to fill in the blank in Italian.  Student: Okay, how do you say in front of? Tutor: OK,  ""is in front of the"" is ""e di fronte alla"" Student: And how do you say yellow? Tutor: Okay, I'll give you a hint.  ""yellow"" is ""gialla"" Student: Is it ""la borsa e di fronte alla gialla scatola""? Tutor: alla (""to the"") is used when the following word (scatola) is feminine and a singular object.  It is a contraction of a (""to"") and la (""the""). When the following word begins with a vowel, this is shortened to all' and prepended to the word.",la borsa e di fronte alla gialla scatola?,"[True, False, False, False]"
" Tutor: ""Box"" is ""scatola"". Please try to fill in the blank in Italian.  Student: Okay, how do you say in front of? Tutor: OK,  ""is in front of the"" is ""e di fronte alla"" Student: And how do you say yellow? Tutor: Okay, I'll give you a hint.  ""yellow"" is ""gialla"" Student: Is it ""la borsa e di fronte alla gialla scatola""? Tutor: alla (""to the"") is used when the following word (scatola) is feminine and a singular object.  It is a contraction of a (""to"") and la (""the""). When the following word begins with a vowel, this is shortened to all' and prepended to the word. Student: la borsa e di fronte alla gialla scatola? Tutor: gialla is the feminine form, because the noun it modifies (scatola) is feminine.",Is it e di fronte alla gialla scatola?,"[True, False, False, False]"
" Tutor: ""Box"" is ""scatola"". Please try to fill in the blank in Italian.  Student: Okay, how do you say in front of? Tutor: OK,  ""is in front of the"" is ""e di fronte alla"" Student: And how do you say yellow? Tutor: Okay, I'll give you a hint.  ""yellow"" is ""gialla"" Student: Is it ""la borsa e di fronte alla gialla scatola""? Tutor: alla (""to the"") is used when the following word (scatola) is feminine and a singular object.  It is a contraction of a (""to"") and la (""the""). When the following word begins with a vowel, this is shortened to all' and prepended to the word. Student: la borsa e di fronte alla gialla scatola? Tutor: gialla is the feminine form, because the noun it modifies (scatola) is feminine. Student: Is it e di fronte alla gialla scatola? Tutor: Prepositional phrases separate the two noun phrases.","Okay, is it di fronte alla gialla scatola?","[True, False, False, False]"
" Tutor: ""Box"" is ""scatola"". Please try to fill in the blank in Italian.  Student: Okay, how do you say in front of? Tutor: OK,  ""is in front of the"" is ""e di fronte alla"" Student: And how do you say yellow? Tutor: Okay, I'll give you a hint.  ""yellow"" is ""gialla"" Student: Is it ""la borsa e di fronte alla gialla scatola""? Tutor: alla (""to the"") is used when the following word (scatola) is feminine and a singular object.  It is a contraction of a (""to"") and la (""the""). When the following word begins with a vowel, this is shortened to all' and prepended to the word. Student: la borsa e di fronte alla gialla scatola? Tutor: gialla is the feminine form, because the noun it modifies (scatola) is feminine. Student: Is it e di fronte alla gialla scatola? Tutor: Prepositional phrases separate the two noun phrases. Student: Okay, is it di fronte alla gialla scatola? Tutor: Adjectives (such as color words) follow the noun they modify in Italian.","Okay, is it la borsa e di fronte alla scatola gialla?","[True, False, False, False]"
" Tutor: ""Box"" is ""scatola"". Please try to fill in the blank in Italian.  Student: Okay, how do you say in front of? Tutor: OK,  ""is in front of the"" is ""e di fronte alla"" Student: And how do you say yellow? Tutor: Okay, I'll give you a hint.  ""yellow"" is ""gialla"" Student: Is it ""la borsa e di fronte alla gialla scatola""? Tutor: alla (""to the"") is used when the following word (scatola) is feminine and a singular object.  It is a contraction of a (""to"") and la (""the""). When the following word begins with a vowel, this is shortened to all' and prepended to the word. Student: la borsa e di fronte alla gialla scatola? Tutor: gialla is the feminine form, because the noun it modifies (scatola) is feminine. Student: Is it e di fronte alla gialla scatola? Tutor: Prepositional phrases separate the two noun phrases. Student: Okay, is it di fronte alla gialla scatola? Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: Okay, is it la borsa e di fronte alla scatola gialla? Tutor: Please try to fill in the blank in Italian. ",how do you say red?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: how do you say red? Tutor: Hmm...  ""red"" is ""rossa""","Okay, is it il coniglio e di fronte alla scatola rossa","[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: how do you say red? Tutor: Hmm...  ""red"" is ""rossa"" Student: Okay, is it il coniglio e di fronte alla scatola rossa Tutor: Please try to fill in the blank in Italian. ",how do you say behind?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: how do you say behind? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la""",and how do you say dog?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: how do you say behind? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la"" Student: and how do you say dog? Tutor: OK,  ""box"" is  ""scatola""",How do you say dog?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: how do you say behind? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la"" Student: and how do you say dog? Tutor: OK,  ""box"" is  ""scatola"" Student: How do you say dog? Tutor: rossa is the feminine form, because the noun it modifies (scatola) is feminine.",Yes I remember.,"[False, False, True, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: how do you say behind? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la"" Student: and how do you say dog? Tutor: OK,  ""box"" is  ""scatola"" Student: How do you say dog? Tutor: rossa is the feminine form, because the noun it modifies (scatola) is feminine. Student: Yes I remember. Tutor: Can you try filling in the blank to the best of your ability?","Okay, is it il dogo e dietro la scatola rossa","[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: how do you say behind? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la"" Student: and how do you say dog? Tutor: OK,  ""box"" is  ""scatola"" Student: How do you say dog? Tutor: rossa is the feminine form, because the noun it modifies (scatola) is feminine. Student: Yes I remember. Tutor: Can you try filling in the blank to the best of your ability? Student: Okay, is it il dogo e dietro la scatola rossa Tutor: Please try to fill in the blank in Italian. ",how do you say purple?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: how do you say purple? Tutor: OK,  ""purple"" is ""viola""","Okay, is it il cane di fronte alla bed viola","[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: how do you say purple? Tutor: OK,  ""purple"" is ""viola"" Student: Okay, is it il cane di fronte alla bed viola Tutor: Hmm...  ""bed"" is  ""letto""","Okay is it, il cane di fronte alla letto viola","[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: how do you say purple? Tutor: OK,  ""purple"" is ""viola"" Student: Okay, is it il cane di fronte alla bed viola Tutor: Hmm...  ""bed"" is  ""letto"" Student: Okay is it, il cane di fronte alla letto viola Tutor: al (""to the"", or ""of the"") is used when the following word (letto) is masculine and a singular object.  It is a contraction of the words a (""to"") and il (""the"").","Okay is it, il cane di fronte al letto viola","[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: how do you say purple? Tutor: OK,  ""purple"" is ""viola"" Student: Okay, is it il cane di fronte alla bed viola Tutor: Hmm...  ""bed"" is  ""letto"" Student: Okay is it, il cane di fronte alla letto viola Tutor: al (""to the"", or ""of the"") is used when the following word (letto) is masculine and a singular object.  It is a contraction of the words a (""to"") and il (""the""). Student: Okay is it, il cane di fronte al letto viola Tutor: Please try to fill in the blank in Italian. ","Okay is it, il cane dientro al letto viola","[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: Okay is it, il cane dientro al letto viola Tutor: Hmm...  ""is behind the"" is  ""e dietro il""","Okay is it, il cane e dietro al letto viola","[True, False, False, False]"
" Tutor: ""Is Under The"" is ""e sotto"". Please try to fill in the blank in Italian. ",il coniglio e sotto tree?,"[True, False, False, False]"
" Tutor: ""Is Under The"" is ""e sotto"". Please try to fill in the blank in Italian.  Student: il coniglio e sotto tree? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""l'albero""",il coniglio e sotto l'albero?,"[True, False, False, False]"
" Tutor: ""Is Under The"" is ""e sotto"". Please try to fill in the blank in Italian.  Student: il coniglio e sotto tree? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""l'albero"" Student: il coniglio e sotto l'albero? Tutor: Okay, I'll give you a hint.  ""purple"" is  ""viola""",il coniglio e sotto l'albero viola?,"[True, False, False, False]"
" Tutor: ""Is Under The"" is ""e sotto"". Please try to fill in the blank in Italian.  Student: il coniglio e sotto tree? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""l'albero"" Student: il coniglio e sotto l'albero? Tutor: Okay, I'll give you a hint.  ""purple"" is  ""viola"" Student: il coniglio e sotto l'albero viola? Tutor: Please try to fill in the blank in Italian. ","How do you say ""is in front of""?","[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is in front of""? Tutor: Well,  ""is in front of the"" is ""e di fronte al""","How do you say ""bed""?","[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is in front of""? Tutor: Well,  ""is in front of the"" is ""e di fronte al"" Student: How do you say ""bed""? Tutor: Well,  ""bed"" is  ""letto""",il cane e di fronte al l'letto viola?,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is in front of""? Tutor: Well,  ""is in front of the"" is ""e di fronte al"" Student: How do you say ""bed""? Tutor: Well,  ""bed"" is  ""letto"" Student: il cane e di fronte al l'letto viola? Tutor: al (""to the"", or ""of the"") is used when the following word (letto) is masculine and a singular object.  It is a contraction of the words a (""to"") and il (""the"").",il cane e di fronte al letto viola?,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is in front of""? Tutor: Well,  ""is in front of the"" is ""e di fronte al"" Student: How do you say ""bed""? Tutor: Well,  ""bed"" is  ""letto"" Student: il cane e di fronte al l'letto viola? Tutor: al (""to the"", or ""of the"") is used when the following word (letto) is masculine and a singular object.  It is a contraction of the words a (""to"") and il (""the""). Student: il cane e di fronte al letto viola? Tutor: Please try to fill in the blank in Italian. ","How do you say ""is behind""?","[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is behind""? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la""","How do you say ""red box""?","[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is behind""? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la"" Student: How do you say ""red box""? Tutor: OK,  ""box"" is  ""scatola""","What is ""red""?","[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is behind""? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la"" Student: How do you say ""red box""? Tutor: OK,  ""box"" is  ""scatola"" Student: What is ""red""? Tutor: Hmm...  ""red"" is ""rossa""",il cane e dietro la scatola rossa.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is behind""? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la"" Student: How do you say ""red box""? Tutor: OK,  ""box"" is  ""scatola"" Student: What is ""red""? Tutor: Hmm...  ""red"" is ""rossa"" Student: il cane e dietro la scatola rossa. Tutor: Please try to fill in the blank in Italian. ","How do you say ""is inside""?","[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is inside""? Tutor: Remember that  ""is inside of the"" is ""e dentro la""",la pianta e dentro la scatola rossa?,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is inside""? Tutor: Remember that  ""is inside of the"" is ""e dentro la"" Student: la pianta e dentro la scatola rossa? Tutor: Please try to fill in the blank in Italian. ","How do you say ""is next to""?
 ","[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is next to""?
  Tutor: Well,  ""is next to the"" is ""e accanto al""","What is the word for ""blue""?
","[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is next to""?
  Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: What is the word for ""blue""?
 Tutor: Okay, I'll give you a hint.  ""blue"" is ""blu""","What is the word for ""bed""?","[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is next to""?
  Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: What is the word for ""blue""?
 Tutor: Okay, I'll give you a hint.  ""blue"" is ""blu"" Student: What is the word for ""bed""? Tutor: Remember that  ""bed"" is  ""letto""",oh yeah I remember that,"[False, False, True, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is next to""?
  Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: What is the word for ""blue""?
 Tutor: Okay, I'll give you a hint.  ""blue"" is ""blu"" Student: What is the word for ""bed""? Tutor: Remember that  ""bed"" is  ""letto"" Student: oh yeah I remember that Tutor: Hmm...  ""bed"" is "" letto""",la pianta e accanto al letto blu.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is next to""?
  Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: What is the word for ""blue""?
 Tutor: Okay, I'll give you a hint.  ""blue"" is ""blu"" Student: What is the word for ""bed""? Tutor: Remember that  ""bed"" is  ""letto"" Student: oh yeah I remember that Tutor: Hmm...  ""bed"" is "" letto"" Student: la pianta e accanto al letto blu. Tutor: Please try to fill in the blank in Italian. ",il coniglio el accanto al pianta blu.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: il coniglio el accanto al pianta blu. Tutor: Well,  ""is next to the"" is  ""e vicino alla""",il coniglio e vicino alla pianta blu.,"[True, False, False, False]"
" Tutor: ""Is In Front Of The"" is ""e di fronte alla"". Please try to fill in the blank in Italian. ","What is the word for blue again?
","[False, True, False, False]"
" Tutor: ""Is In Front Of The"" is ""e di fronte alla"". Please try to fill in the blank in Italian.  Student: What is the word for blue again?
 Tutor: Remember that  ""blue"" is ""blu""",Okay! I believe the correct response is e di fronte alla scatola blu.,"[True, False, False, False]"
" Tutor: ""Is In Front Of The"" is ""e di fronte alla"". Please try to fill in the blank in Italian.  Student: What is the word for blue again?
 Tutor: Remember that  ""blue"" is ""blu"" Student: Okay! I believe the correct response is e di fronte alla scatola blu. Tutor: Please try to fill in the blank in Italian. ",How do you say is inside of?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is inside of? Tutor: Okay, I'll give you a hint.  ""is inside of the"" is ""e dentro la""",e dentro la alla scatola rossa is the correct answer,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is inside of? Tutor: Okay, I'll give you a hint.  ""is inside of the"" is ""e dentro la"" Student: e dentro la alla scatola rossa is the correct answer Tutor: rossa is the feminine form, because the noun it modifies (scatola) is feminine.",okay then perhaps I entered an additional word. Is it e dentro la scatola rossa?,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is inside of? Tutor: Okay, I'll give you a hint.  ""is inside of the"" is ""e dentro la"" Student: e dentro la alla scatola rossa is the correct answer Tutor: rossa is the feminine form, because the noun it modifies (scatola) is feminine. Student: okay then perhaps I entered an additional word. Is it e dentro la scatola rossa? Tutor: Please try to fill in the blank in Italian. ",How do you say is next to the?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is next to the? Tutor: Well,  ""is next to the"" is ""e accanto al""",e accanto al scatola rosa is my guess then.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is next to the? Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: e accanto al scatola rosa is my guess then. Tutor: Okay, I'll give you a hint.  ""bed"" is  ""letto""",Oh okay! then I'll try e accanto al letto roso.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is next to the? Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: e accanto al scatola rosa is my guess then. Tutor: Okay, I'll give you a hint.  ""bed"" is  ""letto"" Student: Oh okay! then I'll try e accanto al letto roso. Tutor: Okay, I'll give you a hint.  ""pink"" is  ""rosa""",Darn. In that case let's try e accanto al letto rosa.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How do you say is next to the? Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: e accanto al scatola rosa is my guess then. Tutor: Okay, I'll give you a hint.  ""bed"" is  ""letto"" Student: Oh okay! then I'll try e accanto al letto roso. Tutor: Okay, I'll give you a hint.  ""pink"" is  ""rosa"" Student: Darn. In that case let's try e accanto al letto rosa. Tutor: Please try to fill in the blank in Italian. ","I forgot, how do you say is next to the again?","[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: I forgot, how do you say is next to the again? Tutor: Hmm...  ""is next to the"" is ""e vicino al""",e vicino al doggo rosa is my guess at this point.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: I forgot, how do you say is next to the again? Tutor: Hmm...  ""is next to the"" is ""e vicino al"" Student: e vicino al doggo rosa is my guess at this point. Tutor: Well,  ""dog"" is  ""cane""",Oh okay! then the right answer must be e vicino al cane rosa.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: I forgot, how do you say is next to the again? Tutor: Hmm...  ""is next to the"" is ""e vicino al"" Student: e vicino al doggo rosa is my guess at this point. Tutor: Well,  ""dog"" is  ""cane"" Student: Oh okay! then the right answer must be e vicino al cane rosa. Tutor: Please try to fill in the blank in Italian. ",I really don't remember the word for bunny. Any help?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: I really don't remember the word for bunny. Any help? Tutor: Hmm...  ""bunny"" is  ""coniglio""",e vacino al coniglio rossa perhaps?,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: I really don't remember the word for bunny. Any help? Tutor: Hmm...  ""bunny"" is  ""coniglio"" Student: e vacino al coniglio rossa perhaps? Tutor: Well,  ""is next to the"" is  ""e accanto al""",So what's the word for purple then?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: I really don't remember the word for bunny. Any help? Tutor: Hmm...  ""bunny"" is  ""coniglio"" Student: e vacino al coniglio rossa perhaps? Tutor: Well,  ""is next to the"" is  ""e accanto al"" Student: So what's the word for purple then? Tutor: OK,  ""purple"" is ""viola""",e accanto al coniglio viola must be correct then.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: I really don't remember the word for bunny. Any help? Tutor: Hmm...  ""bunny"" is  ""coniglio"" Student: e vacino al coniglio rossa perhaps? Tutor: Well,  ""is next to the"" is  ""e accanto al"" Student: So what's the word for purple then? Tutor: OK,  ""purple"" is ""viola"" Student: e accanto al coniglio viola must be correct then. Tutor: Please try to fill in the blank in Italian. ","How would you say ""is on top of the"" in Italian?","[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How would you say ""is on top of the"" in Italian? Tutor: Remember that  ""is on top of the"" is ""e in cima al""",Okay! And what's the word for table?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How would you say ""is on top of the"" in Italian? Tutor: Remember that  ""is on top of the"" is ""e in cima al"" Student: Okay! And what's the word for table? Tutor: Remember that  ""table"" is  ""tavolo""",e in cima al tavolo viola is my guess then.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: How would you say ""is on top of the"" in Italian? Tutor: Remember that  ""is on top of the"" is ""e in cima al"" Student: Okay! And what's the word for table? Tutor: Remember that  ""table"" is  ""tavolo"" Student: e in cima al tavolo viola is my guess then. Tutor: Please try to fill in the blank in Italian. ","Can you tell me how to say ""is under the"" in Italian?","[False, True, False, False]"
" Tutor: ""Purple"" is ""viola"". Please try to fill in the blank in Italian. ",Can you tell me how to say in front of the in Italian?,"[False, True, False, False]"
" Tutor: ""Purple"" is ""viola"". Please try to fill in the blank in Italian.  Student: Can you tell me how to say in front of the in Italian? Tutor: Hmm...  ""is in front of the"" is ""e di fronte alla""",I believe box is scatola right?,"[False, True, False, False]"
" Tutor: ""Purple"" is ""viola"". Please try to fill in the blank in Italian.  Student: Can you tell me how to say in front of the in Italian? Tutor: Hmm...  ""is in front of the"" is ""e di fronte alla"" Student: I believe box is scatola right? Tutor: OK,  ""box"" is  ""scatola""",So my response is e di fronte alla scatola verde.,"[True, False, False, False]"
" Tutor: ""Purple"" is ""viola"". Please try to fill in the blank in Italian.  Student: Can you tell me how to say in front of the in Italian? Tutor: Hmm...  ""is in front of the"" is ""e di fronte alla"" Student: I believe box is scatola right? Tutor: OK,  ""box"" is  ""scatola"" Student: So my response is e di fronte alla scatola verde. Tutor: Well,  ""purple"" is  ""viola""",Oh yes I remember you telling me that earlier.,"[False, False, True, False]"
" Tutor: ""Purple"" is ""viola"". Please try to fill in the blank in Italian.  Student: Can you tell me how to say in front of the in Italian? Tutor: Hmm...  ""is in front of the"" is ""e di fronte alla"" Student: I believe box is scatola right? Tutor: OK,  ""box"" is  ""scatola"" Student: So my response is e di fronte alla scatola verde. Tutor: Well,  ""purple"" is  ""viola"" Student: Oh yes I remember you telling me that earlier. Tutor: Can you try filling in the blank to the best of your ability?",e di fronte alla scatola viola,"[True, False, False, False]"
" Tutor: ""Purple"" is ""viola"". Please try to fill in the blank in Italian.  Student: Can you tell me how to say in front of the in Italian? Tutor: Hmm...  ""is in front of the"" is ""e di fronte alla"" Student: I believe box is scatola right? Tutor: OK,  ""box"" is  ""scatola"" Student: So my response is e di fronte alla scatola verde. Tutor: Well,  ""purple"" is  ""viola"" Student: Oh yes I remember you telling me that earlier. Tutor: Can you try filling in the blank to the best of your ability? Student: e di fronte alla scatola viola Tutor: Please try to fill in the blank in Italian. ",What is the word for plant in Italian?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: What is the word for plant in Italian? Tutor: Okay, I'll give you a hint.  ""plant"" is  ""pianta""",I think yellow is gialla correct?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: What is the word for plant in Italian? Tutor: Okay, I'll give you a hint.  ""plant"" is  ""pianta"" Student: I think yellow is gialla correct? Tutor: OK,  ""yellow"" is ""gialla""",so how do you say is next to the in Italian?,"[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: What is the word for plant in Italian? Tutor: Okay, I'll give you a hint.  ""plant"" is  ""pianta"" Student: I think yellow is gialla correct? Tutor: OK,  ""yellow"" is ""gialla"" Student: so how do you say is next to the in Italian? Tutor: Well,  ""is next to the"" is ""e vicino alla""",e vicino alla pianta gialla is my guess.,"[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: What is the word for plant in Italian? Tutor: Okay, I'll give you a hint.  ""plant"" is  ""pianta"" Student: I think yellow is gialla correct? Tutor: OK,  ""yellow"" is ""gialla"" Student: so how do you say is next to the in Italian? Tutor: Well,  ""is next to the"" is ""e vicino alla"" Student: e vicino alla pianta gialla is my guess. Tutor: Please try to fill in the blank in Italian. ","The only thing I'm confused about it how to say ""is behind the"" in Italian. Can you help?","[False, True, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: The only thing I'm confused about it how to say ""is behind the"" in Italian. Can you help? Tutor: Well,  ""is behind the"" is ""e dietro la""","e dietro la scatola viola is the answer, I believe.","[True, False, False, False]"
" Tutor: Please try to fill in the blank in Italian.  Student: The only thing I'm confused about it how to say ""is behind the"" in Italian. Can you help? Tutor: Well,  ""is behind the"" is ""e dietro la"" Student: e dietro la scatola viola is the answer, I believe. Tutor: Please try to fill in the blank in Italian. ","Is blue, azul?","[False, True, False, False]"
